特約類別,機構代號,機構名稱,全日平均三班護理人員數,護病比,病床數,分佈,圖點,區部病床數排名
醫學中心,501110514,三軍總醫院,410.4,7.5,1824,1,三軍總醫院,4
精神專科,501160014,三總北投院,69.8,10.9,370,1,三軍總醫院北投分院,49
區域醫院,501010019,三總松山院,35,9.7,419,1,三軍總醫院松山分院,46
地區醫院,511040010,三總附基隆,17.2,10.2,169,1,三軍總醫院基隆分院正榮院區,66
地區醫院,1531021174,祐民醫院,8,10.1,41,1,三重祐民醫院,105
地區醫院,1533051063,大安醫院,11,9.6,65,1,大安醫院,91
地區醫院,901020013,中山醫院,36.4,6.9,268,1,中山醫院,57
地區醫院,1101020027,中心綜合,14,10.0,453,1,中心綜合醫院,43
地區醫院,1301110511,中國醫臺北,11.2,11.0,241,1,中國醫藥大學附設醫院,60
地區醫院,1333050017,中醫大新竹,17.8,9.9,169,1,中國醫藥大學新竹附設醫院,66
地區醫院,1512040051,新中興醫院,5,2.9,83,1,中興醫院,81
地區醫院,1532021338,中壢長榮,10,7.8,100,1,中壢長榮醫院,76
地區醫院,1531071030,仁愛醫院,32,11.2,145,1,仁愛醫院,69
區域醫院,101090517,臺北市聯醫仁愛院區,104.2,10.0,723,1,仁愛醫院,21
地區醫院,1401190011,仁濟醫院,4,1.7,182,1,仁濟醫院,64
地區醫院,1531100027,公祥醫院,3,5.7,69,1,公祥醫院,89
地區醫院,1133060019,湖口仁慈,22,12.0,222,1,天主教仁慈醫院,62
區域醫院,932020025,天晟醫院,38,8.9,580,1,天晟醫院,30
地區醫院,931090014,文化醫院,9,9.0,33,1,文化醫院,108
精神專科,931100015,北新醫院,12.9,13.8,61,1,北新醫院,96
區域醫院,101090517,臺北市聯醫陽明院區,71.4,9.8,476,1,台北市立聯合醫院陽明院區,40
醫學中心,1101010012,台北長庚,36.5,6.9,170,1,台北長庚紀念醫院,65
地區醫院,634030014,蘇澳榮民醫,21,11.2,123,1,台北榮民總醫院-蘇澳分院,73
地區醫院,634070018,員山榮民醫,39,11.3,253,1,台北榮總員山分院,58
地區醫院,1531031278,永和復康,4.5,11.9,22,1,永和復康醫院,112
地區醫院,1531050077,同仁醫院,5,6.9,35,1,同仁醫院,107
區域醫院,1131110516,汐止國泰,94.3,9.3,738,1,汐止國泰綜合醫院,20
地區醫院,901190010,西園醫院,17,7.3,119,1,西園醫院,74
區域醫院,1131050515,台北慈濟,157.5,8.1,769,1,佛教慈濟綜合醫院台北院區,17
地區醫院,1532101108,宋俊宏婦幼,8,8.3,56,1,宋俊宏婦幼醫院,99
地區醫院,1531020122,宏仁醫院,7,11.8,61,1,宏仁醫院,95
地區醫院,937050024,宏仁醫院,13,10.7,50,1,宏仁醫院,101
地區醫院,932020016,宏其婦幼,11.3,9.2,67,1,宏其婦幼醫院,90
地區醫院,1101020036,宏恩醫院,19.7,11.9,151,1,宏恩醫院,68
地區醫院,1534050026,杏和醫院,3,3.3,125,1,杏和醫院,72
醫學中心,1131010011,亞東醫院,308,7.7,956,1,亞東醫院,12
地區醫院,1501100037,協和婦女,5,2.8,83,1,協和婦女醫院,81
區域醫院,1101160026,和信治癌,96,5.1,413,1,和信治癌中心醫院,47
精神專科,1532060031,居善醫院,12,14.4,63,1,居善醫院,93
地區醫院,1532040066,怡仁醫院,33.1,8.4,242,1,怡仁醫院,59
地區醫院,1531041390,怡和醫院,8,10.0,44,1,怡和醫院,104
地區醫院,1532021285,承安醫院,5,3.8,63,1,承安醫院,93
區域醫院,933050018,東元法人,34.5,10.3,664,1,東元綜合醫院,23
地區醫院,931010025,板英醫院,6,8.1,25,1,板英醫院,111
醫學中心,1132070011,林口長庚,872.4,7.4,3541,1,林口長庚紀念醫院,1
地區醫院,1532101117,秉坤,8,9.4,25,1,秉坤婦幼醫院,110
地區醫院,1512011185,南門醫院,13.5,8.8,276,1,南門醫院,55
地區醫院,1134070019,宜蘭員山,5,7.7,31,1,員山馬偕紀念醫院,109
區域醫院,1131090019,恩主公醫院,76.5,9.4,369,1,恩主公醫院,50
地區醫院,1531131157,恩樺醫院,21,9.7,87,1,恩樺醫院,79
區域醫院,1101160017,振興醫院,224,9.0,1026,1,振興醫院,11
區域醫院,632010014,北榮桃園,49.8,10.5,750,1,桃園榮民醫院,19
地區醫院,1532010120,聯新桃新,4,3.9,77,1,桃新醫院,86
精神專科,934060027,海天醫院,9,11.5,47,1,海天醫院,102
區域醫院,1231050017,新店耕莘醫院,112,10.5,1044,1,耕莘醫院,10
地區醫院,1231030015,永和耕莘,37.1,11.6,371,1,耕萃醫院永和分院,48
醫學中心,1101100011,台北馬偕,227,7.5,881,1,馬偕紀念醫院,15
醫學中心,1131100010,馬偕淡水,234.5,7.5,1274,1,馬偕醫院淡水院區,6
區域醫院,434010518,陽大醫院,118.6,9.0,449,1,國立陽明交通大學附設醫院,44
醫學中心,401180014,台大醫院,711,7.2,1973,1,國立臺灣大學醫學院附設醫院,3
區域醫院,532090029,國軍桃園總,85.4,9.2,682,1,國軍桃園總醫院,22
地區醫院,512040014,國軍新竹醫,29.2,11.0,504,1,國軍新竹地區醫院,37
地區醫院,1112010528,國泰新竹,47,8.8,339,1,國泰醫院,52
醫學中心,1101020018,國泰醫院,168,7.6,888,1,國泰醫院總院,14
精神專科,1501010029,培靈醫院,5,11.3,19,1,培靈醫院,114
地區醫院,211070012,基隆市立醫,7,6.1,44,1,基隆市立醫院,103
區域醫院,1111060015,長庚基隆分,208.9,9.2,1058,1,基隆長庚紀念醫院,9
地區醫院,1101110026,康寧醫院,18,7.3,461,1,康寧醫院,42
區域醫院,1532011154,敏盛綜合醫,71,9.8,892,1,敏盛醫院,13
地區醫院,1532091081,龍潭敏盛醫,7,9.3,36,1,敏盛醫院 龍潭分院,106
區域醫院,132010014,桃園醫院,173,9.9,753,1,部立桃園醫院,18
地區醫院,1501010010,博仁醫院,15,10.2,341,1,博仁綜合醫院,51
區域醫院,1134020019,羅東博愛醫,146.7,10.2,1141,1,博愛醫院門診大樓,7
地區醫院,1501201020,景美醫院,11.6,10.3,73,1,景美醫院,88
地區醫院,901180023,郵政醫院,9,6.3,83,1,郵政醫院,81
地區醫院,1532101091,陽明醫院,16.5,11.7,76,1,陽明醫院,87
地區醫院,931060016,新仁醫院,,,,1,新仁醫院,
地區醫院,1531051172,新北仁康,3,4.1,95,1,新北仁康醫院,77
地區醫院,1131130018,土城醫院,,,,1,新北市立土城醫院,
區域醫院,131020016,新北市聯醫,46.3,10.0,528,1,新北市立聯合醫院三重院區,35
醫學中心,1101150011,新光醫院,180.9,7.6,646,1,新光醫院,25
區域醫院,1112010519,新竹馬偕,122.7,8.4,556,1,新竹馬偕醫院,32
地區醫院,433050018,臺大生醫,,,,1,新竹臺大分院生醫醫院竹北院區,
區域醫院,412040012,臺大新竹分,155,8.2,857,1,新竹臺大分院新竹醫院,16
地區醫院,1511010068,新昆明醫院,5,2.7,57,1,新昆明醫院,98
地區醫院,1531060180,新泰綜合院,20,11.3,127,1,新泰綜合醫院,70
地區醫院,932020034,新國民法人,12,1.2,1333,1,新國民醫院,5
精神專科,1431060017,新莊仁濟,5.5,10.3,21,1,新莊仁濟醫院,113
地區醫院,1531120038,瑞芳礦工醫,7,2.0,126,1,瑞芳礦工醫院,71
醫學中心,1301200010,萬芳醫院,190.7,7.4,618,1,萬芳醫院,27
區域醫院,1132010024,聖保祿醫院,66,8.8,332,1,聖保祿醫院,53
精神專科,911010010,維德醫院,10,12.5,60,1,維德醫院,97
地區醫院,401190010,北護分院,6.8,7.9,53,1,臺大醫院北護分院,100
地區醫院,431270012,台大金山,9.4,8.7,84,1,臺大醫院金山分院,80
醫中兒醫,401180023,台大兒醫,45,6.9,188,1,臺大醫院急診部,63
區域醫院,101090517,臺北市聯醫中興院區,70.5,8.0,577,1,臺北市立聯合醫院中興院區,31
區域醫院,101090517,臺北市聯醫和平婦幼院區,78.2,9.2,531,1,臺北市立聯合醫院和平婦幼院區和平院址,34
區域醫院,101090517,臺北市聯醫忠孝院區,50.8,9.9,476,1,臺北市立聯合醫院忠孝院區,39
精神專科,101090517,臺北市聯醫松德院區,99.9,9.5,449,1,臺北市立聯合醫院松德院區,45
醫學中心,601160016,臺北榮總,775,7.8,2609,1,臺北榮民總醫院,2
地區醫院,633030010,北榮新竹,37.8,10.7,276,1,臺北榮民總醫院新竹分院,56
區域醫院,1301170017,台北醫學大,153.5,8.7,625,1,臺北醫學大學附設醫院,26
區域醫院,1101010021,臺安醫院,51,8.1,474,1,臺安醫院,41
地區醫院,1411030013,臺灣礦工,7,11.3,87,1,臺灣礦工醫院,78
地區醫院,1331160010,輔大附醫,85.1,8.3,647,1,輔大醫院,24
地區醫院,1531130052,廣川醫院,3,6.1,238,1,廣川醫院,61
地區醫院,131060010,樂生療養院,33,10.2,313,1,樂生療養院迴龍院區,54
區域醫院,111070010,部基隆,60.7,9.1,545,1,衛生福利部基隆醫院,33
區域醫院,131060029,部台北,89.1,9.1,496,1,衛生福利部臺北醫院,38
區域醫院,1331040513,雙和醫院,274,8.3,1071,1,衛生福利部雙和醫院,8
地區醫院,132110519,桃園新屋,23.4,12.2,103,1,衛福部桃園醫院新屋分院,75
地區醫院,101090517,臺北市聯醫林森中醫院區,3,0.7,525,1,聯合醫院林森院區,36
區域醫院,1532100049,壢新醫院,106,9.3,616,1,壢新醫院,28
地區醫院,1532021383,懷寧醫院,6.9,8.6,82,1,懷寧醫院,85
區域醫院,1134020028,羅東聖母醫,74,10.0,605,1,羅東聖母醫院,29
地區醫院,701160518,關渡醫院,7.9,9.5,82,1,關渡醫院,84
地區醫院,1134010022,蘭陽仁愛醫,15,9.2,64,1,蘭陽仁愛醫院,92
地區醫院,1535010051,大千醫院,61,7.4,184,2,大千綜合醫院,37
區域醫院,936030018,大甲李綜合,28,8.7,508,2,大甲李綜合醫院,19
區域醫院,1136200015,大里仁愛醫,89,7.0,1031,2,大里仁愛醫院,5
地區醫院,1535081078,大順醫院,4,4.5,49,2,大順醫院,61
地區醫院,1531060046,大順醫院,4,7.9,21,2,大順醫院,65
醫學中心,1317050017,中國,423.2,7.9,1711,2,中國醫藥大學附設醫院,1
地區醫院,1336010015,中國豐原分,7,8.8,90,2,中國醫藥大學附設醫院豐原分院,49
地區醫院,1537070028,仁和醫院,3,5.3,84,2,仁和醫院,51
區域醫院,1139030015,若瑟醫院,45.8,8.6,567,2,天主教若瑟醫院,17
地區醫院,1139020019,福安醫院,3,9.6,46,2,天主教福安醫院,62
地區醫院,1503190039,新太平澄清,10.5,10.5,52,2,太平澄清醫院,59
地區醫院,1139010013,斗六慈濟醫,,,,2,斗六慈濟醫院,
區域醫院,439010518,台大雲林,159.1,9.5,695,2,台大醫院雲林分院,11
地區醫院,640140012,中榮灣橋,16,12.6,126,2,台中榮民總醫院灣橋分院,45
地區醫院,638020014,榮總埔里分,31.5,11.4,238,2,台中榮總埔里分院市區門診,34
地區醫院,1536181139,本堂澄清,6,8.5,140,2,本堂澄清醫院,44
區域醫院,936050029,光田綜合醫,142.5,9.1,1472,2,光田綜合醫院,2
地區醫院,1537010219,成美醫院,5,11.9,82,2,成美醫院,53
地區醫院,1538041101,竹山秀傳醫,28,10.5,349,2,竹山秀傳醫院,27
精神專科,1503250012,宏恩龍安分,11,12.1,45,2,宏恩醫院龍安分院,63
地區醫院,935020027,李綜合苑裡,24.5,8.2,495,2,李綜合醫院,22
區域醫院,937010019,秀傳紀念醫,121,7.8,1314,2,秀傳醫院,3
地區醫院,1303180011,亞洲大學附,74.5,11.1,443,2,亞洲大學附屬醫院,24
地區醫院,1537100012,伸港忠孝,4,6.1,186,2,忠孝醫院,36
地區醫院,1536060037,明德梧棲醫,13,9.5,87,2,明德醫院,50
地區醫院,1538041165,東華醫院,10,11.8,61,2,東華醫院,57
區域醫院,917070029,林新醫療社,86,7.1,824,2,林新醫院,8
地區醫院,1503190020,長安醫院,14,11.0,190,2,長安醫院,35
地區醫院,1139130010,長庚雲林,20.1,7.7,258,2,長庚醫院雲林分院,33
精神專科,939010018,信安醫院,8.9,13.2,92,2,信安醫院,48
地區醫院,1537010175,冠華醫院,3,0.8,500,2,冠華醫院,21
地區醫院,1138010019,南投基督教,,,,2,南基醫院,
精神專科,935010021,大千南勢,14,13.5,71,2,南勢醫院,56
地區醫院,1539010048,洪揚醫院,6,7.7,153,2,洪揚醫院,43
區域醫院,1135050020,為恭醫院,81.6,10.1,578,2,為恭紀念醫院,16
地區醫院,1537051292,員生醫院,14,11.7,180,2,員生醫院,38
地區醫院,1537150512,員林郭大村,1.5,8.7,83,2,員林郭醫院大村分院,52
地區醫院,937050014,員榮醫院,15.2,9.8,298,2,員榮醫院,32
區域醫院,1138020015,埔里基督教,39,10.5,525,2,埔里基督教醫院,18
地區醫院,903150014,烏日林新醫,46,9.6,612,2,烏日林新醫院,14
地區醫院,439010527,成大斗六,29.2,10.6,298,2,國立成功大學醫學院附設醫院斗六分院,31
區域醫院,536190011,國軍台中總,70.5,10.2,586,2,國軍台中總醫院,15
地區醫院,517050010,國軍中清分,7.8,9.5,174,2,國軍臺中總醫院中清院區,39
地區醫院,1536100081,清泉醫院,13.7,11.9,173,2,清泉醫院,41
地區醫院,1535031041,通霄光田,4,2.0,333,2,通霄光田醫院,28
地區醫院,1517051107,勝美醫院,10,10.8,36,2,勝美醫院,64
地區醫院,1503030010,順安醫院,7,6.9,56,2,順安醫院,58
地區醫院,1536011276,新惠生,11.5,6.5,74,2,新惠生醫院,55
地區醫院,1536201065,新菩提醫院,4,9.8,78,2,新菩提醫院,54
地區醫院,1436020013,東勢農民醫,9.1,10.0,96,2,農民醫院,47
地區醫院,937030012,道周醫院,4.4,9.7,169,2,道周醫院,42
醫學中心,1137010024,彰基,308.3,7.5,934,2,彰化基督教醫院,7
地區醫院,1137050019,彰基員林基,71,8.0,323,2,彰化基督教醫院員林分院,29
地區醫院,1137020520,彰基鹿基醫,60,9.7,433,2,彰基鹿基分院,25
區域醫院,1137020511,彰濱秀傳,88,9.6,938,2,彰濱秀傳紀念醫院,6
地區醫院,1137010051,彰基漢銘基,,,,2,漢銘醫院,
區域醫院,1136090519,台中慈濟醫,120,9.2,819,2,臺中慈濟醫院,9
醫學中心,617060018,台中榮總,361.2,7.5,1215,2,臺中榮民總醫院,4
區域醫院,117030010,部臺中,79.9,9.4,525,2,臺中醫院,19
地區醫院,1503260018,臺安雙十分,11,7.8,110,2,臺安醫院雙十分院,46
區域醫院,1517061032,澄清中港,105,9.6,746,2,澄清綜合醫院中港院區,10
區域醫院,1517011112,澄清綜合醫,48,9.4,415,2,澄清醫院平等院區,26
區域醫院,135010016,部苗栗,61.7,10.2,456,2,衛生福利部苗栗醫院,23
區域醫院,137170515,部彰化,72,9.3,625,2,衛生福利部彰化醫院,12
地區醫院,138010027,部南投,62.4,10.4,306,2,衛福部南投醫院,30
精神專科,1417030017,靜和醫院,14.1,10.5,51,2,靜和醫院,60
區域醫院,136010010,部豐原,100.8,9.4,623,2,豐原醫院,13
地區醫院,1503200012,霧峰澄清醫,22.4,6.6,174,2,霧峰澄清醫院,40
地區醫院,1505340019,大安婦幼醫,6,6.2,32,3,大安婦幼醫院,75
地區醫院,1542010052,大東醫院,12,10.6,56,3,大東醫院,68
醫學中心,1317040011,中山醫院,200,7.6,1283,3,中山醫院,6
地區醫院,1521051179,仁村醫院,3,6.7,59,3,仁村醫院,67
區域醫院,622020017,中榮嘉義,54.2,9.2,536,3,台中榮總嘉義分院,22
區域醫院,905320023,南市立醫院,98.2,8.0,521,3,台南市立醫院,23
區域醫院,121050011,臺南醫院,81.8,10.4,671,3,台南醫院,16
地區醫院,141060513,台南新化分,7.2,7.5,124,3,台南醫院新化分院,50
地區醫院,1502041117,右昌聯合醫,9.9,14.3,170,3,右昌聯合醫院,47
地區醫院,1502051426,四季台安醫,11,9.2,71,3,四季台安醫院,60
地區醫院,1521051160,永和醫院,4,4.4,69,3,永和醫院,61
地區醫院,1542020067,光雄長安醫,6,9.0,132,3,光雄長安醫院,49
地區醫院,1522021264,安心醫院,5,10.6,22,3,安心醫院,76
地區醫院,1502110064,安泰醫院,6,9.4,76,3,安泰醫院,59
區域醫院,943030019,安泰醫療社,85.8,8.9,870,3,安泰醫院,11
醫學中心,421040011,成大醫院,368.8,7.0,1040,3,成大醫院,7
地區醫院,140010028,部朴子醫院,11.4,11.9,108,3,朴子醫院,53
精神專科,1143130019,佑青醫院,11,13.4,51,3,佑青醫院,70
地區醫院,1541070045,宏科醫院,2.5,4.9,95,3,宏科醫院,57
區域醫院,902080013,阮綜合醫療,95.8,9.0,473,3,阮綜合醫院,25
醫學中心,1141310019,奇美醫院,325.5,6.9,1039,3,奇美醫院永康院區,8
地區醫院,1105050012,奇美佳里,46,10.8,200,3,奇美醫院佳里分院,44
區域醫院,1141090512,奇美柳營,190,8.8,738,3,奇美醫院柳營分院,14
地區醫院,943160012,枋寮醫療社,26,12.0,246,3,枋寮醫院,39
地區醫院,943040015,南門醫療社,7,12.7,54,3,南門醫院,69
精神專科,943060017,屏安醫療社,15,12.0,60,3,屏安醫院,66
區域醫院,943010017,寶建醫療社,71.6,9.8,331,3,屏東寶建醫院,35
區域醫院,1143010012,屏基醫療,82.3,9.0,516,3,屏基醫療財團法人屏東基督教醫院,24
地區醫院,1507320015,新高醫院,17,11.3,105,3,建功馬光中醫診所,54
地區醫院,1542050056,建佑醫院,24,9.0,472,3,建佑醫院,26
地區醫院,1502070118,健新醫院,4,5.0,350,3,建新醫院,34
地區醫院,1143040010,恆春基督教,4.5,2.4,186,3,恆春基督教醫院,46
地區醫院,1502031102,柏仁醫院,9,11.3,68,3,柏仁醫院,62
地區醫院,1107350015,天主教聖功,26.6,10.1,286,3,財團法人天主教聖功醫院,37
區域醫院,102070020,大同醫院,87.1,9.4,371,3,高雄市立大同醫院,33
區域醫院,1102110011,小港醫院,84,10.8,383,3,高雄市立小港醫院,31
地區醫院,102080017,民生醫院,32,9.4,238,3,高雄市立民生醫院,41
地區醫院,942020019,岡山醫院,13,6.2,66,3,高雄市立岡山醫院,65
精神專科,102080026,市立凱旋醫,111,11.8,446,3,高雄市立凱旋醫院,29
地區醫院,1307370011,市立旗津醫,3.5,3.7,91,3,高雄市立旗津醫院,58
地區醫院,1142010518,鳳山醫院,9.7,10.6,98,3,高雄市立鳳山醫院,56
區域醫院,102020011,高雄市聯醫,48.6,7.9,424,3,高雄市立聯合醫院,30
醫學中心,1142100017,高雄長庚,506.2,7.6,1853,3,高雄長庚紀念醫院,1
醫學中心,602030026,高雄榮總,315.5,7.3,1341,3,高雄榮民總醫院,5
地區醫院,643130018,高榮屏東分,33.3,11.6,212,3,高雄榮民總醫院屏東分院,43
地區醫院,641310018,高榮台南,37,10.2,449,3,高雄榮民總醫院臺南分院,28
醫學中心,1302050014,高雄醫學大,392.4,8.2,1426,3,高雄醫學大學附設醫院,2
地區醫院,1542150042,高新醫院,4,13.4,22,3,高新醫院,77
地區醫院,1502040021,健仁醫院,30,9.8,231,3,健仁醫院,42
區域醫院,1543010109,國仁醫院,23.7,8.7,948,3,國仁醫院,10
區域醫院,502080015,國軍高雄總,124.8,11.1,739,3,國軍高雄總醫院,13
區域醫院,502030015,國軍左營,81,9.4,620,3,國軍高雄總醫院左營分院(海軍總醫院),18
地區醫院,542020011,國軍岡山醫,21,9.3,559,3,國軍高雄總醫院岡山分院,21
地區醫院,543010019,國軍屏東分,11.9,12.1,103,3,國軍高雄總醫院屏東分院,55
地區醫院,1521031104,郭綜合醫院,38.3,9.0,688,3,郭綜合醫院,15
地區醫院,1507300077,博田國際醫,,,,3,博正醫院,
地區醫院,1542011237,惠德醫院,5.2,10.3,32,3,惠德醫院,74
地區醫院,1521041137,開元寺慈愛,2,8.9,67,3,開元寺慈愛醫院,63
區域醫院,1121010018,新樓醫院,84.8,6.2,460,3,新樓醫院,27
地區醫院,941010019,新興醫院,9.8,14.5,51,3,新興醫院,71
地區醫院,141010013,新營醫院,14,11.1,116,3,新營醫院,51
地區醫院,1107320017,義大大昌醫,14.4,4.7,286,3,義大大昌醫院,37
區域醫院,1122010021,聖馬爾定,89,8.5,577,3,聖馬爾定醫院,19
區域醫院,1140010510,長庚嘉義,236.1,9.4,1424,3,嘉義長庚紀念醫院,3
區域醫院,1122010012,嘉基醫院,174.2,7.9,868,3,嘉義基督教醫院,12
精神專科,1442060014,慈惠醫院,13.1,9.8,115,3,慈恵醫院,52
區域醫院,1140030012,大林慈濟醫,147.4,8.9,970,3,慈濟醫院大林分院,9
區域醫院,1305370013,市立安南,118.8,9.2,649,3,臺南市立安南醫院,17
區域醫院,1343030018,輔英附設醫,47,9.5,375,3,輔英科技大學附設醫院,32
地區醫院,1543020105,茂隆骨科醫,9.5,8.9,153,3,潮州孝愛仁愛之家,48
區域醫院,143010011,部屏東醫院,64.5,10.4,302,3,衛生福利部屏東醫院,36
地區醫院,141270019,部胸腔病院,9.4,12.6,66,3,衛生福利部胸腔病院,64
精神專科,141270028,嘉南療養院,48.6,10.5,189,3,衛生福利部嘉南療養院,45
地區醫院,142030019,旗山醫院,48,10.1,240,3,衛生福利部旗山醫院,40
地區醫院,122020517,嘉義醫院,29.5,12.3,570,3,衛福部嘉義醫院,20
地區醫院,1522021175,盧亞人醫院,6,12.7,43,3,盧亞人醫院,73
精神專科,907120012,燕巢靜和醫,12,12.5,50,3,靜和醫院燕巢分院,72
區域醫院,1142120001,義大醫院,223.9,8.6,1348,3,E-DA Hospital,4
區域醫院,1146010014,台東馬偕,103.5,8.8,433,4,台東馬偕紀念醫院,4
地區醫院,1146010032,台東基督教,24,7.9,190,4,台東基督教醫院,9
地區醫院,1146010041,台東聖母醫,1.5,0.1,1200,4,台東聖母醫院,1
地區醫院,1145030012,玉里慈濟醫,7,4.5,55,4,玉里慈濟醫院,14
地區醫院,905290020,吉安醫院,,,,4,吉安醫院,
醫學中心,1145010010,慈濟醫院,174,7.8,651,4,花蓮慈濟醫院,2
區域醫院,545040515,國軍花蓮,32.7,10.4,560,4,國軍花蓮總醫院,3
區域醫院,1145010038,門諾醫院,74.1,8.8,400,4,基督教門諾會醫院,5
地區醫院,1146030516,關山慈濟醫,5,5.3,82,4,慈濟醫院關山分院,13
地區醫院,646010013,北榮台東,13,13.0,82,4,榮民總醫院台東分院,12
地區醫院,645020015,北榮鳳林,7,10.6,117,4,榮民總醫院鳳林分院,11
地區醫院,645030011,北榮玉里,52,10.2,195,4,臺北榮民總醫院玉里分院,8
地區醫院,146010013,部東醫院,12.5,12.3,204,4,臺東醫院,7
精神專科,145030020,玉里醫院,25,11.1,145,4,衛生福利部玉里醫院,10
地區醫院,145010019,花蓮醫院,32.2,11.3,257,4,衛生福利部花蓮醫院,6
